,0
1955,
1956,
1957,
1958,
1959,
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.03284649932803368
1978,0.06481073358798686
1979,0.09617885921535742
1980,0.12918447871439803
1981,0.16122098022355977
1982,0.19386491785457244
1983,0.2256554512867234
1984,0.2605556467962297
1985,0.29608576674891657
1986,0.3424348918759342
1987,0.4004162252902273
1988,0.45951527443380397
1989,0.5226973577116164
1990,0.5812320210720576
1991,0.6422577168395276
1992,0.7004211990492265
1993,0.7617441649242981
1994,0.8170641066594029
1995,0.8687602913721114
1996,0.9062776299300153
1997,0.9657136614818693
1998,1.017532043844401
1999,1.0691023729554983
2000,1.1162541715407368
2001,1.1638338427538482
2002,1.2235979227589802
2003,1.2799126707763018
2004,1.3494509303890672
2005,1.4129214542392532
2006,1.4739371900231328
2007,1.5305552966275857
2008,1.5938939031091572
2009,1.652272909569037
2010,1.7040765456557874
2011,1.7478149009550863
2012,1.7972363385207522
2013,1.8437247868994469
2014,1.8896613469667038
2015,1.9351387349280202
2016,1.9818889927785461
2017,2.0301230614258103
2018,2.07564403591298
2019,2.124384378161073
2020,2.1722236825509427
2021,2.1623772866134434
2022,2.1527845968063435
2023,2.142819960630908
2024,2.1324545932659125
2025,2.1214667699679604
2026,2.1099966329267255
2027,2.0978289135382817
2028,2.0850393244796797
2029,2.0716935141948114
2030,2.0576404704508655
2031,2.043164017130208
2032,2.0281291241116293
2033,2.0125432117641404
2034,1.996194949127208
2035,1.9791634284749173
2036,1.9612662913208765
2037,1.9425735311919952
2038,1.9228335843948838
2039,1.9021351038537833
2040,1.880528815675259
2041,1.858021707080597
2042,1.834452200710755
2043,1.8100140671858174
2044,1.7844252165345482
2045,1.7579161092344344
2046,1.730496661251822
2047,1.7020632259578534
